"filename", "language", "TypeScript", "JSON", "JSON with Comments", "HTML", "Vue", "Python", "CSS", "Markdown", "JavaScript", "comment", "blank", "total"
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\views\Animation.vue", "Vue", 0, 0, 0, 0, 106, 0, 0, 0, 0, 12, 18, 136
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\views\Page1.vue", "Vue", 0, 0, 0, 0, 293, 0, 0, 0, 0, 19, 23, 335
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\views\Page2.vue", "Vue", 0, 0, 0, 0, 129, 0, 0, 0, 0, 4, 24, 157
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\views\Page3.vue", "Vue", 0, 0, 0, 0, 94, 0, 0, 0, 0, 8, 14, 116
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\views\Show.vue", "Vue", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\src\views\Test.vue", "Vue", 0, 0, 0, 0, 57, 0, 0, 0, 0, 1, 8, 66
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\tsconfig.app.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\tsconfig.json", "JSON with Comments", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\tsconfig.node.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"e:\AAAAAAAA\VScode_HugeProject\REEFSEFSEF\vue-project\vite.config.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 31
"Total", "-", 79, 3774, 11, 27, 1762, 261, 53, 20, 78, 273, 349, 6687
